id,square_footage,bedrooms,bathrooms,year_built,lot_size,distance_to_city_center,school_rating,price
1,1250.0,2,1.0,1985,5200.0,3.2,7.1,185000.0
2,1850.0,3,2.0,1998,7500.0,5.6,8.2,265000.0
3,1420.0,3,2.0,1992,6800.0,2.8,6.9,210000.0
4,2100.0,4,2.5,2005,9200.0,7.3,8.5,345000.0
5,1700.0,3,2.0,2001,7100.0,4.1,7.8,275000.0
6,980.0,2,1.0,1978,4500.0,2.5,6.5,165000.0
7,2400.0,4,3.0,2010,10500.0,8.2,9.0,410000.0
8,1600.0,3,1.5,1995,6700.0,3.8,7.2,225000.0
9,2200.0,4,2.5,2008,9800.0,6.9,8.7,375000.0
10,1350.0,3,1.0,1987,5800.0,3.0,7.0,195000.0
11,1950.0,3,2.0,2003,8100.0,5.2,8.1,285000.0
12,1100.0,2,1.0,1982,4800.0,2.1,6.8,175000.0
13,2350.0,4,3.0,2012,10200.0,7.8,9.1,400000.0
14,1550.0,3,1.5,1994,6500.0,3.6,7.3,220000.0
15,2050.0,4,2.5,2006,9000.0,6.7,8.6,355000.0
16,1300.0,2,1.0,1986,5500.0,2.9,7.2,190000.0
17,1800.0,3,2.0,1999,7300.0,4.9,8.0,260000.0
18,1150.0,2,1.0,1980,4600.0,2.3,6.7,170000.0
19,2300.0,4,3.0,2011,10000.0,7.5,9.0,395000.0
20,1500.0,3,1.5,1993,6400.0,3.5,7.4,215000.0
21,1650.0,3,2.0,1997,7000.0,4.0,7.7,240000.0
22,2150.0,4,2.5,2007,9500.0,7.0,8.8,365000.0
23,1200.0,2,1.0,1984,5000.0,2.6,6.9,180000.0
24,1900.0,3,2.0,2002,7800.0,5.0,8.3,280000.0
25,1400.0,3,1.5,1990,6000.0,3.2,7.1,205000.0
26,2250.0,4,3.0,2009,9900.0,7.2,8.9,385000.0
27,1750.0,3,2.0,2000,7200.0,4.5,7.9,255000.0
28,1050.0,2,1.0,1979,4400.0,2.2,6.6,160000.0
29,2050.0,4,2.5,2004,8800.0,6.5,8.4,335000.0
30,1450.0,3,1.5,1991,6200.0,3.4,7.5,215000.0
31,1330.0,2,1.0,1988,5600.0,3.1,7.0,195000.0
32,1870.0,3,2.0,2000,7600.0,5.0,8.1,270000.0
33,1380.0,3,1.5,1992,6100.0,3.2,7.3,205000.0
34,2120.0,4,2.5,2006,9300.0,7.1,8.6,350000.0
35,1680.0,3,2.0,1998,7050.0,4.2,7.6,250000.0
36,1010.0,2,1.0,1980,4550.0,2.4,6.7,170000.0
37,2380.0,4,3.0,2011,10300.0,7.9,9.0,405000.0
38,1580.0,3,1.5,1996,6650.0,3.7,7.2,230000.0
39,2180.0,4,2.5,2007,9700.0,6.8,8.7,370000.0
40,1270.0,2,1.0,1985,5300.0,2.8,7.0,190000.0
41,1930.0,3,2.0,2002,8000.0,5.3,8.2,290000.0
42,1120.0,2,1.0,1983,4850.0,2.2,6.9,175000.0
43,2320.0,4,3.0,2010,10100.0,7.7,9.0,390000.0
44,1520.0,3,1.5,1995,6350.0,3.5,7.4,225000.0
45,2070.0,4,2.5,2005,9100.0,6.6,8.5,345000.0
46,1290.0,2,1.0,1986,5400.0,3.0,7.1,195000.0
47,1820.0,3,2.0,1999,7400.0,4.8,8.0,265000.0
48,1130.0,2,1.0,1981,4700.0,2.3,6.8,170000.0
49,2280.0,4,3.0,2009,9950.0,7.4,8.9,385000.0
50,1480.0,3,1.5,1992,6300.0,3.4,7.5,220000.0
